test_case,call_number,latency,result
1,1,0.10096096992492676,FAKE
1,2,0.16479706764221191,FAKE
1,3,0.06783294677734375,FAKE
1,4,0.09736204147338867,FAKE
1,5,0.08029532432556152,FAKE
1,6,0.1146390438079834,FAKE
1,7,0.15745306015014648,FAKE
1,8,0.08957314491271973,FAKE
1,9,0.07005000114440918,FAKE
1,10,4.128463268280029,FAKE
1,11,0.1049337387084961,FAKE
1,12,0.13957905769348145,FAKE
1,13,0.2521631717681885,FAKE
1,14,0.10089492797851562,FAKE
1,15,0.08267688751220703,FAKE
1,16,0.08071613311767578,FAKE
1,17,0.19800019264221191,FAKE
1,18,0.14864683151245117,FAKE
1,19,0.08239412307739258,FAKE
1,20,0.08419013023376465,FAKE
1,21,0.09086894989013672,FAKE
1,22,0.2191009521484375,FAKE
1,23,0.08851289749145508,FAKE
1,24,0.18627524375915527,FAKE
1,25,0.1920459270477295,FAKE
1,26,0.07378387451171875,FAKE
1,27,0.09671497344970703,FAKE
1,28,0.12363123893737793,FAKE
1,29,0.2046511173248291,FAKE
1,30,0.06476116180419922,FAKE
1,31,0.08008694648742676,FAKE
1,32,0.11318707466125488,FAKE
1,33,0.11850500106811523,FAKE
1,34,0.21673822402954102,FAKE
1,35,0.24310088157653809,FAKE
1,36,0.1970348358154297,FAKE
1,37,0.11382603645324707,FAKE
1,38,0.14084696769714355,FAKE
1,39,0.3747539520263672,FAKE
1,40,0.0804290771484375,FAKE
1,41,0.10892176628112793,FAKE
1,42,0.09692811965942383,FAKE
1,43,0.2418370246887207,FAKE
1,44,0.08817601203918457,FAKE
1,45,0.09749698638916016,FAKE
1,46,0.09153890609741211,FAKE
1,47,0.2387709617614746,FAKE
1,48,0.0816490650177002,FAKE
1,49,0.07194185256958008,FAKE
1,50,0.09629201889038086,FAKE
1,51,0.19601798057556152,FAKE
1,52,0.0809180736541748,FAKE
1,53,0.1352248191833496,FAKE
1,54,0.13201498985290527,FAKE
1,55,0.16259098052978516,FAKE
1,56,0.1438438892364502,FAKE
1,57,0.08780527114868164,FAKE
1,58,0.2866859436035156,FAKE
1,59,0.14377379417419434,FAKE
1,60,0.07386207580566406,FAKE
1,61,0.175889253616333,FAKE
1,62,0.3107609748840332,FAKE
1,63,0.10250282287597656,FAKE
1,64,0.07139992713928223,FAKE
1,65,0.07111811637878418,FAKE
1,66,0.15825486183166504,FAKE
1,67,0.10817313194274902,FAKE
1,68,0.15264296531677246,FAKE
1,69,0.2480299472808838,FAKE
1,70,0.06297087669372559,FAKE
1,71,0.10512781143188477,FAKE
1,72,0.10505485534667969,FAKE
1,73,0.20689892768859863,FAKE
1,74,0.07683610916137695,FAKE
1,75,0.09346723556518555,FAKE
1,76,0.07675480842590332,FAKE
1,77,0.13741612434387207,FAKE
1,78,0.15443825721740723,FAKE
1,79,0.09173417091369629,FAKE
1,80,0.09417915344238281,FAKE
1,81,0.35759687423706055,FAKE
1,82,0.09488201141357422,FAKE
1,83,0.14560198783874512,FAKE
1,84,0.11918520927429199,FAKE
1,85,0.17764568328857422,FAKE
1,86,0.10524225234985352,FAKE
1,87,0.10657167434692383,FAKE
1,88,0.09703397750854492,FAKE
1,89,0.2840580940246582,FAKE
1,90,0.14089012145996094,FAKE
1,91,0.0863947868347168,FAKE
